Timestamp,Expense_Date,Select_Load,Expense_Owner,Expense_Category,Amount,Payment_Method,Payment_Status,Load_ID,Expense_ID
2025-02-01 7:12:44,1/2/2025,,Dispatcher,Office Expense,120,Transfer,Paid,,EXP001
2025-02-01 18:35:09,1/6/2025,"LD007 | Hartford, CT → New York, NY | Northern Freight Logistics",Carrier,Fuel Advance,850,Cash,Paid,LD007 ,EXP002
2025-02-02 10:26:31,1/10/2025,"LD009 | Boston, MA → New York, NY | Apex Cargo Ltd",Carrier,Fuel Advance,920,Transfer,Paid,LD009 ,EXP003
2025-02-03 21:48:17,1/15/2025,,Dispatcher,Salary / Wages,1800,Card,Unpaid,,EXP004
2025-02-04 6:55:02,1/22/2025,"LD014 | Newark, NJ → Philadelphia, PA | Apex Cargo Ltd",Carrier,Fuel Advance,760,Transfer,Paid,LD014 ,EXP005
2025-02-05 14:19:53,1/29/2025,,Dispatcher,Software / Subscription,45,Transfer,Paid,,EXP006
2025-02-06 19:07:26,2/3/2025,"LD018 | Newark, NJ → Boston, MA | SafeWay Carriers",Carrier,Fuel Advance,980,Cash,Paid,LD018 ,EXP007
2025-02-07 9:33:41,2/7/2025,"LD021 | Baltimore, MD → Newark, NJ | RapidMove Transport",Carrier,Toll,65,Card,Paid,LD021 ,EXP008
2025-02-08 16:58:12,2/12/2025,,Dispatcher,Office Expense,150,Transfer,Unpaid,,EXP009
2025-02-09 22:11:37,2/18/2025,"LD025 | Hartford, CT → Philadelphia, PA | TransNation Logistics",Carrier,Maintenance / Repair,420,Transfer,Paid,LD025 ,EXP010
2025-02-10 8:47:05,2/25/2025,,Dispatcher,Salary / Wages,2000,Card,Paid,,EXP011
2025-02-11 13:25:49,3/4/2025,"LD029 | Baltimore, MD → Philadelphia, PA | Metro Haul Nigeria Ltd",Carrier,Fuel Advance,870,Cash,Paid,LD029 ,EXP012
2025-02-12 17:39:28,3/8/2025,"LD031 | Richmond, VA → Philadelphia, PA | Swift Haulage Ltd",Carrier,Lumper,95,Transfer,Paid,LD031 ,EXP013
2025-02-13 11:06:14,3/13/2025,,Dispatcher,Internet,60,Transfer,Unpaid,,EXP014
2025-02-14 20:52:33,3/19/2025,"LD036 | Hartford, CT → Richmond, VA | Apex Cargo Ltd",Carrier,Fuel Advance,910,Card,Paid,LD036 ,EXP015
2025-02-15 7:28:50,3/26/2025,,Dispatcher,Marketing,130,Transfer,Paid,,EXP016
2025-02-16 15:14:22,4/2/2025,"LD040 | Boston, MA → Richmond, VA | Northern Freight Logistics",Carrier,Fuel Advance,890,Cash,Paid,LD040 ,EXP017
2025-02-17 18:41:09,4/7/2025,"LD043 | Newark, NJ → Albany, NY | BlueStar Freight Ltd",Carrier,Toll,70,Transfer,Paid,LD043 ,EXP018
2025-02-18 9:05:36,4/11/2025,,Dispatcher,Office Expense,140,Card,Paid,,EXP019
2025-02-19 21:30:18,4/17/2025,"LD047 | Hartford, CT → Albany, NY | Swift Haulage Ltd",Carrier,Maintenance / Repair,450,Transfer,Unpaid,LD047 ,EXP020
2025-02-20 12:17:45,4/24/2025,,Dispatcher,Salary / Wages,2100,Transfer,Paid,,EXP021
2025-02-21 16:44:27,4/29/2025,"LD051 | Baltimore, MD → Albany, NY | BlueStar Freight Ltd",Carrier,Fuel Advance,880,Cash,Paid,LD051 ,EXP022
