Timestamp,Select Load,Load_ID ,Deduction Date,Deduction Source,Deduction Type,Deduction Amount,Load ID
2025-01-03 6:42:00,"LD001 | Richmond, VA → New York, NY | Golden Route Transport",LD001,2025-01-05,Driver,Late Delivery,3000,
2025-01-03 7:42:00,"LD002 | New York, NY → Newark, NJ | Northern Freight Logistics",LD002,2025-01-12,Driver,Fuel Misuse,800,
2025-01-05 14:18:00,"LD004 | New York, NY → Philadelphia, PA | BlueStar Freight Ltd",LD004,2025-01-12,Broker,Rate Adjustment,4500,
2025-01-08 9:56:00,"LD005 | Philadelphia, PA → New York, NY | Unity Haulage Services",LD005,2025-01-20,Driver,Traffic Fine,2500,
2025-01-11 18:27:00,"LD006 | New York, NY → Hartford, CT | SafeWay Carriers",LD006,2025-02-03,Driver,Cargo Damage,8000,
2025-01-14 6:33:00,"LD008 | New York, NY → Boston, MA | Infinity Haulage",LD008,2025-02-10,Driver,Vehicle Misuse,6000,
2025-01-17 12:49:00,"LD010 | New York, NY → Baltimore, MD | SafeWay Carriers",LD010,2025-02-18,Broker,Payment Dispute,7000,
2025-01-20 15:12:00,"LD012 | New York, NY → Richmond, VA | Metro Haul Nigeria Ltd",LD012,2025-02-18,Driver,Documentation Issues,2000,
2025-01-23 8:05:00,"LD013 | Richmond, VA → New York, NY | Northern Freight Logistics",LD013,2025-03-02,Driver,Advance Recovery,15000,
2025-01-27 19:44:00,"LD015 | Philadelphia, PA → Newark, NJ | Swift Haulage Ltd",LD015,2025-03-09,Driver,Late Delivery,4000,
2025-01-30 10:21:00,"LD017 | Hartford, CT → Newark, NJ | BlueStar Freight Ltd",LD017,2025-03-15,Broker,Broker Fee Deduction,9000,
2025-02-02 13:37:00,"LD019 | Boston, MA → Newark, NJ | Eastern Cargo Movers",LD019,2025-03-15,Driver,Fuel Misuse,5500,
2025-02-05 7:58:00,"LD020 | Newark, NJ → Baltimore, MD | Unity Haulage Services",LD020,2025-03-25,Driver,Traffic Fine,3000,
2025-02-08 16:42:00,"LD022 | Newark, NJ → Richmond, VA | Infinity Haulage",LD022,2025-04-01,Driver,Cargo Damage,8500,
2025-02-11 11:09:00,"LD024 | Philadelphia, PA → Hartford, CT | Northern Freight Logistics",LD024,2025-04-08,Driver,Vehicle Misuse,6500,
2025-02-14 18:55:00,"LD026 | Philadelphia, PA → Boston, MA | Apex Cargo Ltd",LD026,2025-04-08,Broker,Load Cancellation Penalty,12000,
2025-02-17 9:14:00,"LD028 | Philadelphia, PA → Baltimore, MD | SolidTrack Logistics",LD028,2025-04-19,Driver,Late Delivery,4500,
2025-02-20 14:26:00,"LD030 | Philadelphia, PA → Richmond, VA | SafeWay Carriers",LD030,2025-04-27,Driver,Documentation Issues,2200,
2025-02-23 6:48:00,"LD032 | Hartford, CT → Boston, MA | Northern Freight Logistics",LD032,2025-05-03,Driver,Fuel Misuse,5000,
